data,pedido_id,categoria,produto,regiao,canal,quantidade,preco_unitario,receita
2024-01-01,10001,Moda,Relógio,Sudeste,Loja Física,2,329.0,658.0
2024-01-01,10002,Eletrônicos,Smartwatch,Sul,Site,2,809.1,1618.2
2024-01-01,10003,Eletrônicos,Fone Bluetooth,Nordeste,App,3,224.1,672.3
2024-01-01,10004,Eletrônicos,Fone Bluetooth,Centro-Oeste,App,2,211.65,423.3
2024-01-01,10005,Moda,Tênis Esportivo,Sudeste,App,2,399.0,798.0
2024-01-01,10006,Casa,Liquidificador,Sudeste,Site,3,169.15,507.45
2024-01-02,10007,Moda,Jaqueta,Sul,Loja Física,1,246.05,246.05
2024-01-02,10008,Informática,"Monitor 24""",Centro-Oeste,Loja Física,3,999.0,2997.0
2024-01-03,10009,Esporte,Bicicleta,Nordeste,App,3,1519.05,4557.15
2024-01-03,10010,Eletrônicos,Notebook,Sul,Site,3,3999.0,11997.0
2024-01-03,10011,Informática,Mouse Gamer,Sul,App,2,159.0,318.0
2024-01-04,10012,Moda,Jaqueta,Sudeste,Loja Física,2,259.0,518.0
2024-01-04,10013,Eletrônicos,Smartphone,Sudeste,App,3,1899.0,5697.0
2024-01-04,10014,Eletrônicos,Smartphone,Nordeste,Site,2,1804.05,3608.1
2024-01-04,10015,Casa,Liquidificador,Sudeste,App,1,199.0,199.0
2024-01-05,10016,Eletrônicos,Notebook,Sudeste,Site,3,3999.0,11997.0
2024-01-05,10017,Moda,Mochila,Sudeste,Loja Física,2,179.0,358.0
2024-01-05,10018,Informática,Teclado Mecânico,Sudeste,Loja Física,3,331.55,994.65
2024-01-06,10019,Casa,Liquidificador,Sudeste,App,1,199.0,199.0
2024-01-06,10020,Casa,Aspirador Robô,Nordeste,App,1,1169.1,1169.1
2024-01-06,10021,Moda,Jaqueta,Nordeste,Site,1,259.0,259.0
2024-01-06,10022,Moda,Relógio,Sul,Site,2,329.0,658.0
2024-01-07,10023,Eletrônicos,Fone Bluetooth,Sul,Site,3,224.1,672.3
2024-01-08,10024,Eletrônicos,Smartphone,Nordeste,Site,3,1899.0,5697.0
2024-01-09,10025,Esporte,Halteres 10kg,Sudeste,Loja Física,2,189.0,378.0
2024-01-09,10026,Casa,Air Fryer,Sul,Site,3,459.0,1377.0
2024-01-09,10027,Moda,Mochila,Nordeste,App,1,170.05,170.05
2024-01-09,10028,Informática,Teclado Mecânico,Sudeste,Site,1,314.1,314.1
2024-01-09,10029,Eletrônicos,Fone Bluetooth,Centro-Oeste,Site,2,224.1,448.2
2024-01-10,10030,Informática,"Monitor 24""",Norte,Loja Física,1,999.0,999.0
2024-01-10,10031,Eletrônicos,Fone Bluetooth,Sul,Site,3,224.1,672.3
2024-01-10,10032,Esporte,Bicicleta,Sudeste,Site,3,1519.05,4557.15
2024-01-10,10033,Moda,Mochila,Sudeste,Site,2,161.1,322.2
2024-01-10,10034,Informática,Mouse Gamer,Sudeste,App,3,159.0,477.0
2024-01-11,10035,Esporte,Bicicleta,Nordeste,Site,1,1599.0,1599.0
2024-01-11,10036,Informática,Teclado Mecânico,Sul,Site,2,331.55,663.1
2024-01-11,10037,Esporte,Tapete Yoga,Sudeste,Site,1,94.05,94.05
2024-01-11,10038,Moda,Mochila,Sudeste,App,3,179.0,537.0
2024-01-11,10039,Casa,Aspirador Robô,Norte,Site,1,1299.0,1299.0
2024-01-11,10040,Esporte,Esteira,Sudeste,Site,2,2659.05,5318.1
2024-01-12,10041,Moda,Tênis Esportivo,Sudeste,App,1,379.05,379.05
2024-01-12,10042,Esporte,Tapete Yoga,Nordeste,Site,2,89.1,178.2
2024-01-12,10043,Eletrônicos,Notebook,Centro-Oeste,App,3,3799.05,11397.15
2024-01-12,10044,Casa,Aspirador Robô,Nordeste,Loja Física,1,1299.0,1299.0
2024-01-12,10045,Esporte,Bicicleta,Sudeste,Loja Física,3,1599.0,4797.0
2024-01-12,10046,Eletrônicos,Notebook,Norte,Site,1,3999.0,3999.0
2024-01-12,10047,Eletrônicos,Notebook,Sudeste,Site,2,3999.0,7998.0
2024-01-13,10048,Eletrônicos,Notebook,Sudeste,Site,2,3799.05,7598.1
2024-01-14,10049,Casa,Air Fryer,Sul,Site,3,459.0,1377.0
2024-01-14,10050,Informática,Teclado Mecânico,Sul,Site,1,349.0,349.0
2024-01-14,10051,Eletrônicos,Smartwatch,Sudeste,Loja Física,1,809.1,809.1
2024-01-15,10052,Eletrônicos,Smartwatch,Sudeste,App,3,899.0,2697.0
2024-01-15,10053,Informática,Teclado Mecânico,Sudeste,Site,1,349.0,349.0
2024-01-15,10054,Eletrônicos,Notebook,Sudeste,Site,2,3999.0,7998.0
2024-01-15,10055,Eletrônicos,Fone Bluetooth,Centro-Oeste,App,1,224.1,224.1
2024-01-15,10056,Informática,SSD 1TB,Centro-Oeste,App,1,429.0,429.0
2024-01-15,10057,Informática,SSD 1TB,Sudeste,App,2,407.55,815.1
2024-01-15,10058,Casa,Air Fryer,Centro-Oeste,Site,1,436.05,436.05
2024-01-15,10059,Esporte,Esteira,Sudeste,Loja Física,2,2659.05,5318.1
2024-01-16,10060,Eletrônicos,Fone Bluetooth,Nordeste,Site,2,249.0,498.0
2024-01-16,10061,Eletrônicos,Fone Bluetooth,Sul,App,1,249.0,249.0
2024-01-16,10062,Casa,Liquidificador,Sul,Loja Física,3,199.0,597.0
2024-01-16,10063,Esporte,Bicicleta,Nordeste,Site,3,1599.0,4797.0
2024-01-16,10064,Eletrônicos,Smartwatch,Sudeste,Loja Física,3,854.05,2562.15
2024-01-16,10065,Esporte,Tapete Yoga,Sudeste,Site,2,99.0,198.0
2024-01-16,10066,Informática,SSD 1TB,Sul,Site,1,386.1,386.1
2024-01-17,10067,Informática,SSD 1TB,Sul,App,3,429.0,1287.0
2024-01-17,10068,Moda,Mochila,Centro-Oeste,Site,1,179.0,179.0
2024-01-17,10069,Esporte,Halteres 10kg,Centro-Oeste,App,1,189.0,189.0
2024-01-17,10070,Casa,Aspirador Robô,Centro-Oeste,Site,1,1104.15,1104.15
2024-01-17,10071,Moda,Relógio,Nordeste,App,1,279.65,279.65
2024-01-17,10072,Eletrônicos,Fone Bluetooth,Sudeste,Site,1,224.1,224.1
2024-01-17,10073,Casa,Air Fryer,Centro-Oeste,App,3,459.0,1377.0
2024-01-17,10074,Moda,Relógio,Sudeste,App,1,329.0,329.0
2024-01-17,10075,Esporte,Tapete Yoga,Sudeste,Loja Física,3,89.1,267.3
2024-01-18,10076,Informática,Teclado Mecânico,Sul,App,1,349.0,349.0
2024-01-18,10077,Casa,Aspirador Robô,Nordeste,Site,1,1299.0,1299.0
2024-01-18,10078,Esporte,Bicicleta,Norte,App,1,1519.05,1519.05
2024-01-18,10079,Casa,Air Fryer,Centro-Oeste,App,1,459.0,459.0
2024-01-19,10080,Moda,Relógio,Sul,App,1,279.65,279.65
2024-01-20,10081,Casa,Aspirador Robô,Norte,Site,2,1234.05,2468.1
2024-01-20,10082,Moda,Jaqueta,Sul,Site,2,259.0,518.0
2024-01-20,10083,Esporte,Bicicleta,Sul,App,3,1599.0,4797.0
2024-01-20,10084,Informática,Teclado Mecânico,Sudeste,Site,2,349.0,698.0
2024-01-21,10085,Informática,Teclado Mecânico,Sul,App,2,349.0,698.0
2024-01-21,10086,Casa,Aspirador Robô,Nordeste,Site,3,1234.05,3702.15
2024-01-22,10087,Casa,Liquidificador,Sul,App,1,199.0,199.0
2024-01-22,10088,Esporte,Bicicleta,Sul,Site,1,1439.1,1439.1
2024-01-22,10089,Eletrônicos,Smartphone,Sudeste,Site,3,1899.0,5697.0
2024-01-22,10090,Esporte,Halteres 10kg,Nordeste,Site,1,189.0,189.0
2024-01-22,10091,Casa,Liquidificador,Sudeste,App,3,199.0,597.0
2024-01-22,10092,Esporte,Esteira,Norte,Loja Física,1,2799.0,2799.0
2024-01-23,10093,Moda,Tênis Esportivo,Sudeste,Loja Física,3,399.0,1197.0
2024-01-23,10094,Casa,Liquidificador,Centro-Oeste,Loja Física,3,199.0,597.0
2024-01-23,10095,Moda,Tênis Esportivo,Sudeste,App,2,399.0,798.0
2024-01-23,10096,Casa,Air Fryer,Sudeste,Site,2,459.0,918.0
2024-01-23,10097,Informática,SSD 1TB,Sudeste,App,3,429.0,1287.0
2024-01-23,10098,Eletrônicos,Smartwatch,Sudeste,Site,2,899.0,1798.0
2024-01-24,10099,Moda,Jaqueta,Centro-Oeste,App,3,259.0,777.0
2024-01-24,10100,Casa,Aspirador Robô,Sul,Loja Física,3,1169.1,3507.3
2024-01-24,10101,Informática,"Monitor 24""",Sul,App,1,999.0,999.0
2024-01-24,10102,Esporte,Esteira,Centro-Oeste,App,1,2799.0,2799.0
2024-01-24,10103,Informática,Mouse Gamer,Sudeste,Loja Física,1,159.0,159.0
2024-01-25,10104,Informática,Teclado Mecânico,Nordeste,Loja Física,1,331.55,331.55
2024-01-25,10105,Esporte,Esteira,Centro-Oeste,App,3,2659.05,7977.15
2024-01-25,10106,Casa,Cafeteira,Centro-Oeste,Site,3,274.55,823.65
2024-01-26,10107,Moda,Jaqueta,Nordeste,App,1,259.0,259.0
2024-01-26,10108,Eletrônicos,Smartwatch,Norte,Site,3,899.0,2697.0
